source,canonical
APCD,Air Pollution Control District
Air Pollution Control District,Air Pollution Control District
Alcohol Beverage Control,Alcoholic Beverage Control
Alcoholic Beverage Control,Alcoholic Beverage Control
Brightside,Brightside
Codes & Regulations,Codes & Regulations
Codes & Regulations Department,Codes & Regulations
Codes and Regulations,Codes & Regulations
Community Services,Community Services & Revitalization
Community Services & Revitalization,Community Services & Revitalization
Office of Resilience and Community Services,Community Services & Revitalization
Department of Corrections,Department of Corrections
Metro Corrections,Department of Corrections
County Clerk,County Clerk
Criminal Justice Commission,Criminal Justice Commission
Debt Service,Debt Service
Develop Louisville,Develop Louisville
Economic Development,Economic Development
Economic Growth & Innovation,Economic Development
Elected Officials,Elected Officials
Other Elected Officials,Elected Officials
ES & MetroSafe,Emergency Services & MetroSafe
ES/MetroSafe,Emergency Services & MetroSafe
Emergency Management Agency MetroSafe,Emergency Services & MetroSafe
Emergency Management Agency/MetroSafe,Emergency Services & MetroSafe
Emergency Management Services,Emergency Services & MetroSafe
Emergency Services,Emergency Services & MetroSafe
Emergency Medical Services,Emergency Medical Services
Metro EMS,Emergency Medical Services
Facilities and Fleet Management,Facilities & Fleet Management
Fire & Police Pension,Fire & Police Pension
Group Violence Intervention,Group Violence Intervention
Housing & Family Services,Office of Housing & Community Development
Office of Housing & Community Development,Office of Housing & Community Development
Human Relations Commission,Human Relations Commission
Human Resources,Human Resources
Human Services,Human Services
Office of Social Services,Human Services
Insurance / Claims,Insurance & Claims
Jefferson County Attorney,Jefferson County Attorney
Jefferson County Coroner,Jefferson County Coroner
Kentuckiana Works,KentuckianaWorks
KentuckianaWorks,KentuckianaWorks
Library,Louisville Free Public Library
Louisville Free Public Library,Louisville Free Public Library
Louisville Fire,Louisville Fire
Louisville Fire Department,Louisville Fire
Louisville Metro Council,Louisville Metro Council
Metro Council,Louisville Metro Council
Louisville Metro Police,Louisville Metro Police Department
Louisville Metro Police Department,Louisville Metro Police Department
Metro Police,Louisville Metro Police Department
Louisville Zoo,Louisville Zoo
Mayor Office,Mayor's Office
Mayor's Office,Mayor's Office
Metro Animal Services,Metro Animal Services
Metro TV,Metro TV
Neighborhoods,Neighborhoods
Neighborhoods Department,Neighborhoods
Neighborhoods Parks & Cultural Affairs Cabinet Secre,Neighborhoods
OMB Finance,OMB Finance
Office of Management & Budget,OMB Finance
Department of Information Technology,Metro Technology Services
Metro Technology Services,Metro Technology Services
Office of Civic Innovation & Technology,Metro Technology Services
Office of Civic Innovation and Technology,Metro Technology Services
Technology Services,Metro Technology Services
Technology Services Department,Metro Technology Services
Office of Equity,Office of Equity
Office of Inspector General,Office of Inspector General
Office of Internal Audit,Office of Internal Audit
Office of Performance Improvement,Office of Performance Improvement
Office of Performance Improvement & Innovation,Office of Performance Improvement
Office of Philanthropy,Office of Philanthropy
Office of Planning,Office of Planning
Office for Safe & Healthy Neighborhoods,Office for Safe & Healthy Neighborhoods
Office of Strategic Initiatives,Office of Strategic Initiatives
Office of Sustainability,Office of Sustainability
Office of Violence Prevention,Office of Violence Prevention
Other Statutory Obligations,Other Statutory Obligations
Parking Authority of River City (PARC),Parking Authority (PARC)
Parking Authority of River City - PARC,Parking Authority (PARC)
Parks & Recreation,Parks & Recreation
Policy & Strategic Planning,Policy & Strategic Planning
Public Health & Wellness,Public Health & Wellness
Public Protection,Public Protection
Public Protection Department,Public Protection
Public Works & Assets,Public Works & Assets
Public Works & Assets Department,Public Works & Assets
Records Compliance,Records Compliance
Related Agencies,Related Agencies
Revenue Commission,Revenue Commission
Suburban Fire Districts,Suburban Fire Districts
Waterfront Development Corp,Waterfront Development Corporation
Waterfront Development Corporation,Waterfront Development Corporation
Youth Detention Services,Youth Detention Services
Youth Transitional Services,Youth Transitional Services
